Key,English,Traditional Chinese,Thai,Vietnamese,Indonesia,Brazilian Portuguese,Spanish,Russian,French,Turkish,Hindi,Arabic,Bengali
GAME_NAME,Zombie Hunter,殭屍獵人,นักล่าซอมบี้,Thợ Săn Xác Sống,Pemburu Zombie,Caçador de Zumbi,Amenaza zombi,Охота на Зомби,Chasseur de zombies,Zombi Avcısı,ज़ॉम्बी हंटर,صياد الزومبي,জোম্বি হান্টার
GAME_DESCRIPTION,"Choose your hunter, upgrade your abilities and hunt down more zombies!",選擇獵人，升級技能和能力，挑戰更強大的殭屍！,เลือกนักล่าของคุณ อัปเกรดความสามารถ และล่าซอมบี้เพิ่มขึ้น!,"Chọn thợ săn, nâng cấp sức mạnh và hạ gục binh đoàn xác sống!","Pilih hunter-mu, tingkatkan kemampuannya dan buru lebih banyak zombie!","Escolha seu caçador, evolua suas habilidades e cace ainda mais zumbis!","¡Elige a un cazador, mejora sus habilidades y elimina a más zombis!","Выбирай своего охотника, улучшай навыки и убивай зомби!","Choisissez votre chasseur, améliorez vos capacités et traquez davantage de zombies!","Avcını seç, yeteneklerini geliştir ve daha fazla zombiyi avla!","अपने हंटर को चुनें, अपनी एबिलिटीज़ अपग्रेड करें और ज़्यादा ज़ॉम्बीज़ का शिकार करें!","اختر صيادك، وقم بتحسين قدراتك واصطاد المزيد من الزومبي!","আপনার হান্টার বেঁছে নিন, অ্যাবিলিটি আপগ্রেড করুন এবং আরও জোম্বি হান্ট করুন!"
PVE_PLAY,Zombie Hunter,殭屍獵人,นักล่าซอมบี้,Thử Thách Thợ Săn PVE,Uji Coba Zombie PVE,Caçador de Zumbi,Cazador de zombis,Охота на Зомби,Chasseur de zombies,Zombi Avcısı,ज़ॉम्बी हंटर,ساحة تجارب الزومبي PVE,জোম্বি হান্টার
SELECT_HERO,Select a hunter,選擇出戰角色,เลือกนักล่า,Chọn Thợ săn,Pilih Karakter untuk Bertempur,Escolha um caçador,Elige a un cazador,Выбор охотника,Sélectionnez un chasseur,Bir avcı seç,एक हंटर चुनें,اختر الشخصية للقتال,হান্টার নির্বাচন করুন
HERO_BREACHER,Bomber: Skyler,爆破手·斯凱伊爾,บอมเบอร์: สกายเลอร์,Pháo Binh: Skyler,Bomber: Skyler,Granadeiro: Skyler,Granadero: Skyler,Сапёр: Скайлер,Bombardier: Skyler,Bombacı: Skylar,बॉम्बर: स्काइलर,قناص الحرس الأمامي,বোম্বার: স্কাইলার
TRAIT_BURST,High Burst,高爆發,ทำลายล้างสูง,Sát thương nổ,Burst Tinggi,Explosão Intensa,Daño elevado,Высокий урон от взрыва,Salve puissante,Yüksek Patlama,हाई बर्स्ट,انفجار عالي,হাই বার্স্ট
TRAIT_AOE,Area of Effect,範圍傷害,พื้นที่ผลกระทบ,Sát thương diện rộng,Efek Area,Área de Impacto,Daño de área,Урон по области,Zone d'effet,Alan hasarı,एरिया ऑफ़ इफ़ेक्ट,ضرر منطقة,এরিয়া অফ ইফেক্ট
SKILL_BOMBARD,Target Blast,爆裂轟炸,การระเบิดเป้าหมาย,BÙM!,Target Blast,Explode-Alvo,Explosión,Направленный взрыв,Explosion ciblée,Hedef Patlaması,टारगेट ब्लास्ट,القصف المتفجر,টার্গেট ব্লাস্ট
SKILL_GRENADE,Missiles,致命榴彈,จรวด,Đạn bọc pháo,Rudal,Mísseis,Misiles,Смертельная граната,Missiles,Füzeler,मिसाइल्स,قنبلة يدوية قاتلة,মিসাইল
HERO_RAIDER,Thunder Raider: Adam,雷霆使者·亞當,ฮันเตอร์ เรดเดอร์: อดัม,Mắt Bão: Adam,Thunder Raider: Adam,Para-raios: Adam,Centinela del Trueno: Adam,Штормовой рейнджер: Адам,Raider: Adam,Gök Gürültüsü Akıncısı: Adam,हंटर रेडर: एडम,عاصف المناورة,হান্ডার রেইডার: অ্যাডাম
TRAIT_RAPID,Rapid Fire,高射速,ยิงเร็ว,Tốc độ bắn cao,Tembakan Cepat,Disparo Rápido,Disparo rápido,Высокая скорость стрельбы,Tir rapide,Yüksek atış,रैपिड फ़ायर,معدل إطلاق نار مرتفع,র‍্যাপিড ফায়ার
TRAIT_AGILE,High Mobility,高機動,ความคล่องตัวสูง,Cơ động cao,Mobilitas Tinggi,Alta mobilidade,Movilidad alta,Высокая мобильность,Grande mobilité,Yüksek Hareket Kabiliyeti,हाई मोबिलिटी,عالية الحركة,উচ্চ মোবিলিটি
SKILL_SHOCK,Arc Shock,電弧衝擊,ช็อกส่วนโค้ง,Sốc Điện,Serangan Listrik,Choque do Trovão,Impacto eléctrico,Дуговой удар,Choc en arc,Ark Şoku,आर्क शॉक,صدمة القوس الكهربائي,আর্ক শক
SKILL_CHAIN,Lightning,閃電觸發,สายฟ้า,Chớp Giật,Petir,Relâmpago,Rayo,Срабатывание молнии,Éclair,Yıldırım,लाइटनिंग,تشغيل البرق,লাইটনিং
SKILL_ACTIVE,Active,主動,ใช้งาน,Chủ động,Aktif,Ativa,Activo,Активный,Actif,Aktif,एक्टिव,نشط,অ্যাক্টিভ
SKILL_PASSIVE,Passive,被動,พาสซีฟ,Bị động,Pasif,Passiva,Pasivo,Пассивный,Passif,Pasif,पैसिव,سلبي,প্যাসিভ
COMING_SOON,Coming soon,敬請期待,เร็วๆ นี้,Hãy đón chờ,Segera hadir,Em breve,Próximamente,Скоро выйдет,Bientôt disponible,Çok yakında,जल्द आ रहा है,ترقبوا المزيد,শীঘ্রই আসছে
